Time;Ecg 1;Ecg 2
18:43:05.112;1349.0;786.0
18:43:05.152;153.0;137.0
18:43:05.192;36.0;48.0
18:43:05.232;107.0;160.0
18:43:05.272;534.0;874.0
18:43:05.312;1140.0;1704.0
18:43:05.352;1304.0;2281.0
18:43:05.392;876.0;1664.0
18:43:05.432;363.0;544.0
18:43:05.472;-31.0;-24.0
18:43:05.512;-165.0;-231.0
18:43:05.552;-339.0;-589.0
18:43:05.592;-546.0;-882.0
18:43:05.632;-752.0;-1127.0
18:43:05.672;-836.0;-1160.0
18:43:05.712;-706.0;-566.0
18:43:05.752;-835.0;-891.0
18:43:05.792;-864.0;-1119.0
18:43:05.832;1032.0;847.0
18:43:05.872;-155.0;-195.0
18:43:05.912;-301.0;-434.0
18:43:05.952;-201.0;-284.0
18:43:05.992;166.0;249.0
18:43:06.032;687.0;1084.0
18:43:06.072;920.0;1674.0
18:43:06.112;567.0;1176.0
18:43:06.152;117.0;304.0
18:43:06.192;31.0;40.0
18:43:06.232;-48.0;-41.0
18:43:06.272;33.0;-32.0
18:43:06.312;43.0;-71.0
18:43:06.352;27.0;-150.0
18:43:06.392;-32.0;-240.0
18:43:06.432;129.0;240.0
18:43:06.472;-85.0;27.0
18:43:06.512;-406.0;-521.0
18:43:06.552;1183.0;-1040.0
18:43:06.592;-860.0;-820.0
18:43:06.632;-871.0;-804.0
18:43:06.672;-756.0;-535.0
18:43:06.712;-346.0;-19.0
18:43:06.752;240.0;765.0
18:43:06.792;579.0;1535.0
18:43:06.832;275.0;1230.0
18:43:06.872;-275.0;255.0
18:43:06.912;-539.0;-215.0
18:43:06.952;-661.0;-302.0
18:43:06.992;-658.0;-315.0
18:43:07.032;-667.0;-418.0
18:43:07.072;-621.0;-469.0
18:43:07.112;-503.0;-399.0
18:43:07.152;-134.0;303.0
18:43:07.192;-103.0;263.0
18:43:07.232;-179.0;-73.0
18:43:07.272;1765.0;-411.0
18:43:07.312;-55.0;-177.0
18:43:07.352;-2.0;10.0
18:43:07.392;159.0;203.0
18:43:07.432;375.0;565.0
18:43:07.472;689.0;1143.0
18:43:08.293;-234.0;-502.0
18:43:08.333;533.0;510.0
18:43:08.373;567.0;197.0
18:43:08.413;513.0;-104.0
18:43:08.453;478.0;-163.0
18:43:08.493;390.0;-268.0
18:43:08.533;290.0;-377.0
18:43:08.573;50.0;-616.0
18:43:08.613;-164.0;-845.0
18:43:08.653;-379.0;-1048.0
18:43:08.693;-498.0;-1100.0
18:43:08.733;-353.0;-574.0
18:43:08.773;-570.0;-839.0
18:43:08.813;-685.0;-987.0
18:43:08.853;1235.0;1134.0
18:43:08.893;-44.0;59.0
18:43:08.933;-294.0;-294.0
18:43:08.973;-210.0;-180.0
18:43:09.013;95.0;334.0
18:43:09.053;636.0;1101.0
18:43:09.093;828.0;1725.0
18:43:09.133;387.0;1204.0
18:43:09.173;-12.0;286.0
18:43:09.213;-138.0;36.0
18:43:09.253;-165.0;11.0
18:43:09.293;-50.0;49.0
18:43:09.333;-1.0;-37.0
18:43:09.373;-5.0;-208.0
18:43:09.413;-23.0;-264.0
18:43:09.453;-46.0;-228.0
18:43:09.493;-33.0;-130.0
18:43:09.533;-32.0;-51.0
18:43:09.573;-398.0;-628.0
18:43:09.613;-602.0;-1154.0
18:43:09.653;-1684.0;6265.0
18:43:09.693;-1140.0;2129.0
18:43:09.733;-633.0;137.0
18:43:09.773;-185.0;-502.0
18:43:09.813;320.0;-282.0
18:43:09.853;798.0;510.0
18:43:09.893;827.0;675.0
18:43:09.933;370.0;-219.0
18:43:09.973;-6.0;-961.0
18:43:10.013;-163.0;-1126.0
18:43:10.053;-167.0;-1055.0
18:43:10.093;-136.0;-1003.0
18:43:10.133;-71.0;-991.0
18:43:10.173;-110.0;-975.0
18:43:10.213;6.0;-789.0
18:43:10.253;233.0;-266.0
18:43:10.293;417.0;113.0
18:43:10.333;272.0;-220.0
18:43:10.373;286.0;-593.0
18:43:10.413;-1276.0;4305.0
18:43:10.453;-653.0;1608.0
18:43:10.493;-334.0;183.0
18:43:10.533;-128.0;-293.0
18:43:10.573;356.0;5.0
18:43:10.613;826.0;708.0
18:43:10.653;681.0;760.0
18:43:10.693;135.0;-185.0
18:43:10.733;-213.0;-893.0
18:43:10.773;-415.0;-1080.0
18:43:10.813;-476.0;-941.0
18:43:10.853;-484.0;-954.0
18:43:10.893;-467.0;-940.0
18:43:10.933;-473.0;-952.0
18:43:10.973;-377.0;-864.0
18:43:11.013;-177.0;-181.0
18:43:11.053;-264.0;-267.0
18:43:11.093;-270.0;-366.0
18:43:11.133;1881.0;112.0
18:43:11.173;56.0;109.0
18:43:11.213;51.0;121.0
18:43:11.253;132.0;365.0
18:43:11.293;364.0;762.0
18:43:11.333;610.0;1285.0
18:43:11.373;606.0;1637.0
18:43:11.413;-5.0;909.0
18:43:11.453;-566.0;-230.0
18:43:11.493;-817.0;-802.0
18:43:11.533;-884.0;-847.0
18:43:11.573;-826.0;-908.0
18:43:11.613;-779.0;-897.0
18:43:11.653;-742.0;-945.0
18:43:11.693;-629.0;-861.0
18:43:11.733;-356.0;-314.0
18:43:11.773;-433.0;-423.0
18:43:11.813;-426.0;-676.0
18:43:11.853;1299.0;-973.0
18:43:11.893;-454.0;-566.0
18:43:11.933;-74.0;-189.0
18:43:11.973;288.0;270.0
18:43:12.013;727.0;800.0
18:43:12.053;1192.0;1533.0
18:43:12.093;1414.0;2067.0
18:43:12.133;959.0;1522.0
18:43:12.173;267.0;342.0
18:43:12.213;-249.0;-412.0
18:43:12.253;-526.0;-712.0
18:43:16.637;-679.0;-896.0
18:43:16.677;-811.0;-1164.0
18:43:16.717;-739.0;-1088.0
18:43:16.757;-646.0;-592.0
18:43:16.797;-767.0;-860.0
18:43:16.837;-828.0;-1103.0
18:43:16.877;783.0;3321.0
18:43:16.917;-161.0;1057.0
18:43:16.957;-273.0;-14.0
18:43:16.997;-178.0;-260.0
18:43:17.037;234.0;75.0
18:43:17.077;792.0;916.0
18:43:17.117;1004.0;1427.0
18:43:17.157;586.0;836.0
18:43:17.197;182.0;-18.0
18:43:17.237;3.0;-213.0
